corridor_encoded,event_cause_encoded,vehicle_type_encoded,police_station_encoded,zone_encoded,hour_of_day,day_of_week,month,hour_sin,hour_cos,dow_sin,dow_cos,is_rush_hour,is_high_priority_corridor,is_non_corridor,has_vehicle_type,has_zone,corridor_events_4h,corridor_events_24h,y_closure,y_priority,y_duration,y_severity,id,corridor,event_cause,is_stale_active,start_datetime
11,6,0,1,0,19,3,11,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,1,0,1,0,1,0,0,0,0,203.8280376,0,FKID005760,Non-corridor,others,0,2023-11-09 19:24:48.154000+00:00
5,2,0,11,1,19,3,11,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,1,1,0,0,1,0,0,0,1,,0,FKID005762,CBD 2,accident,0,2023-11-09 19:28:05.033000+00:00
11,14,2,17,1,19,3,11,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,1,0,1,1,1,1,1,0,0,,0,FKID005761,Non-corridor,vehicle_breakdown,0,2023-11-09 19:28:31.579000+00:00
11,16,0,24,6,20,3,11,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,1,0,1,0,1,2,2,0,0,,0,FKID005197,Non-corridor,water_logging,0,2023-11-09 20:51:36.296000+00:00
8,7,0,0,7,21,3,11,-0.7071067811865477,0.7071067811865474,0.43388373911755823,-0.900968867902419,0,0,0,0,1,0,0,0,1,,0,FKID005763,IRR(Thanisandra road),pot_holes,1,2023-11-09 21:21:43.780000+00:00
19,6,0,36,9,22,3,11,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419,0,1,0,0,1,0,0,0,1,,0,FKID005764,Tumkur Road,others,1,2023-11-09 22:01:24.938000+00:00
10,6,0,17,1,22,3,11,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419,0,1,0,0,1,0,0,0,1,,0,FKID005765,Mysore Road,others,0,2023-11-09 22:10:51.914000+00:00
11,14,2,51,1,22,3,11,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419,0,0,1,1,1,3,3,0,0,,0,FKID005766,Non-corridor,vehicle_breakdown,0,2023-11-09 22:19:50.287000+00:00
11,14,2,48,1,22,3,11,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419,0,0,1,1,1,4,4,0,0,97.63435158333333,0,FKID005767,Non-corridor,vehicle_breakdown,0,2023-11-09 22:35:52.555000+00:00
11,2,0,23,10,22,3,11,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419,0,0,1,0,0,5,5,0,0,,0,FKID004396,Non-corridor,accident,0,2023-11-09 22:59:04.908431+00:00
2,14,3,43,9,23,3,11,-0.25881904510252157,0.9659258262890681,0.43388373911755823,-0.900968867902419,0,1,0,1,1,0,0,0,1,,0,FKID004399,Bellary Road 1,vehicle_breakdown,0,2023-11-09 23:16:45.989000+00:00
16,14,2,2,8,0,4,11,0.0,1.0,-0.433883739117558,-0.9009688679024191,0,1,0,1,1,0,0,0,1,,0,FKID005768,ORR West 1,vehicle_breakdown,0,2023-11-10 00:20:36.040000+00:00
19,14,3,8,5,0,4,11,0.0,1.0,-0.433883739117558,-0.9009688679024191,0,1,0,1,1,1,1,0,1,,0,FKID005769,Tumkur Road,vehicle_breakdown,0,2023-11-10 00:29:20.840000+00:00
10,14,5,7,1,0,4,11,0.0,1.0,-0.433883739117558,-0.9009688679024191,0,1,0,1,1,1,1,0,1,29.369336083333334,0,FKID005770,Mysore Road,vehicle_breakdown,0,2023-11-10 00:31:14.562000+00:00
17,6,0,25,0,0,4,11,0.0,1.0,-0.433883739117558,-0.9009688679024191,0,0,0,0,1,0,0,0,1,,0,FKID005771,Old Airport Road,others,0,2023-11-10 00:56:37.499000+00:00
14,14,5,18,4,1,4,11,0.25881904510252074,0.9659258262890683,-0.433883739117558,-0.9009688679024191,0,1,0,1,1,0,0,0,1,62.70201386666667,0,FKID005198,ORR North 1,vehicle_breakdown,0,2023-11-10 01:22:07.058000+00:00
19,6,0,43,9,1,4,11,0.25881904510252074,0.9659258262890683,-0.433883739117558,-0.9009688679024191,0,1,0,0,1,2,2,0,1,,0,FKID005772,Tumkur Road,others,0,2023-11-10 01:33:08.127000+00:00
